Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,92,3831.42,53.7,3885.12,315.96
Drive Thru,123,1715.57,47.55,1763.12,141.58
Take Out,11,212.71,1.24,213.95,17.55
Total,226,5759.70,102.49,5862.19,475.09
