Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3406.07,259,13.15,265,13.91,259,13.15,6.09
Table Service,1366.91,99,13.81,53,27.92,49,27.90,41.86
Total,4772.98,358,13.33,318,16.25,308,15.50,11.78
