Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2864.73,186,15.40,185,16.76,186,15.40,14.03
Table Service,4555.21,337,13.52,151,32.65,117,38.93,48.31
Total,7419.94,523,14.19,336,23.90,303,24.49,27.27
