Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,139,3190.55,30.86,0.0,3221.41,263.09
Lunch,162,4201.05,13.68,0.0,4214.73,346.22
No Service,2,28.34,0.0,0.0,28.34,2.33
Total,303,7419.94,44.54,0.0,7464.48,611.64
