Hour of day,Net sales,Total orders,Total guests
15,89.1,7,8
8,182.24,18,51
20,31.34,2,2
12,348.21,15,24
18,595.0,18,32
11,506.75,24,39
19,61.01,3,3
6,5.49,1,1
16,150.67,10,12
13,159.08,10,14
9,296.39,23,25
17,163.44,6,11
10,203.77,16,20
14,110.8,8,8
7,83.96,9,12
