Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,54,1548.05,65.63,1613.68,127.75
Drive Thru,105,1296.09,13.99,1310.08,106.82
Take Out,11,143.11,6.56,149.67,11.78
Total,170,2987.25,86.18,3073.43,246.35
