Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,569.0,2467.22,80.43,0.0,2547.65,203.47
NA Beverage,136.0,434.37,2.14,0.0,436.51,35.82
Liquor,11.0,78.28,3.61,0.0,81.89,6.46
Draft Beer,2.0,7.38,0.0,0.0,7.38,0.6
Total,718.0,2987.25,86.18,0.0,3073.43,246.35
