Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1484.0,5379.77,76.61,0,5456.38,443.16
No Revenue Center,4.0,0.0,26.16,0,26.16,0.0
Total,1488.0,5379.77,102.77,0,5482.54,443.16
