Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,46,803.1,23.0,21.66,61.23,0.0,0.0,23.00,847.76,6.0
Credit/debit,,232,5790.87,696.60,42.33,440.98,0.0,0.0,696.60,6529.80,13.7
Credit/debit,AMEX,7,231.9,42.03,0.0,17.63,0.0,0.0,42.03,273.93,19.6
Credit/debit,DISCOVER,5,110.64,11.82,0.0,8.43,0.0,0.0,11.82,122.46,11.6
Credit/debit,MASTERCARD,82,2068.5,214.05,26.09,157.59,0.0,0.0,214.05,2308.64,12.6
Credit/debit,VISA,138,3379.83,428.7,16.24,257.33,0.0,0.0,428.70,3824.77,14.1
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,278,6593.97,719.60,63.99,502.21,0.0,0.0,719.60,7377.56,12.8
