Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2485.99,168,14.80,169,15.92,168,14.80,14.12
Table Service,3605.77,211,17.09,109,35.81,97,37.17,42.94
Total,6091.76,379,16.07,278,23.72,265,22.99,24.67
