Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,11.0,48.69,0.0,0.0,48.69,4.01
Dining Room,965.0,4424.25,27.79,0.0,4452.04,364.69
Drive Thru,451.0,1471.85,19.37,0.0,1491.22,121.4
No Revenue Center,40.0,146.97,34.54,0.0,181.51,12.11
Total,1467.0,6091.76,81.70,0.0,6173.46,502.21
