Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,107,3718.84,56.78,3775.62,306.53
Drive Thru,138,1924.13,24.52,1948.65,158.67
Take Out,20,448.79,0.4,449.19,37.01
Total,265,6091.76,81.70,6173.46,502.21
