Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,834.0,3702.9,57.29,0.0,3760.19,305.45
NA Beverage,239.0,680.3,1.56,0.0,681.86,56.04
Liquor,18.0,154.82,0.0,0.0,154.82,12.76
Draft Beer,3.0,14.07,0.0,0.0,14.07,1.17
Total,1094.0,4552.09,58.85,0.0,4610.94,375.42
