Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,633.0,3024.67,34.38,0.0,3059.05,249.43
Drive Thru,454.0,1518.47,7.2,0.0,1525.67,125.25
No Revenue Center,7.0,8.95,17.27,0.0,26.22,0.74
Total,1094.0,4552.09,58.85,0.0,4610.94,375.42
