Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,71,2400.42,33.55,2433.97,197.95
Drive Thru,131,1742.96,14.3,1757.26,143.76
Take Out,21,408.71,11.0,419.71,33.71
Total,223,4552.09,58.85,4610.94,375.42
