Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2216.76,159,13.94,161,14.90,159,13.94,4.67
Table Service,1585.68,124,12.79,44,39.01,43,36.88,38.20
Total,3802.44,283,13.44,205,20.08,202,18.82,11.81
