Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,635.0,2111.08,19.93,0.0,2131.01,173.97
Drive Thru,514.0,1691.36,0.0,0.0,1691.36,139.37
Total,1149.0,3802.44,19.93,0.0,3822.37,313.34
