Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,95,1707.82,0.0,0.0,1707.82,140.73
Lunch,106,2062.71,19.93,0.0,2082.64,169.98
No Service,1,31.91,0.0,0.0,31.91,2.63
Total,202,3802.44,19.93,0.0,3822.37,313.34
