Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,898.0,3234.57,19.93,0.0,3254.5,266.56
NA Beverage,251.0,567.87,0.0,0.0,567.87,46.78
Total,1149.0,3802.44,19.93,0.0,3822.37,313.34
