Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,103,4328.26,29.89,4378.27,358.53
Drive Thru,156,2536.82,8.75,2545.57,209.32
Take Out,30,728.32,70.32,798.64,60.12
Total,289,7593.40,108.96,7722.48,627.97
