Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3284.42,189,17.38,190,18.71,189,17.38,13.79
Table Service,4308.98,281,15.33,118,39.54,100,43.09,46.86
Total,7593.40,470,16.16,308,26.69,289,26.27,25.23
