Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,1.0,11.99,0.0,0.0,11.99,0.99
Dining Room,1100.0,5090.49,79.45,20.12,5190.06,421.44
Drive Thru,693.0,2436.11,8.75,0.0,2444.86,201.02
No Revenue Center,12.0,54.81,20.76,0.0,75.57,4.52
Total,1806.0,7593.40,108.96,20.12,7722.48,627.97
