Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,16.0,56.0,0.0,0.0,56.0,4.61
Dining Room,1219.0,4958.88,166.73,0.0,5125.61,409.1
Drive Thru,776.0,2657.93,36.18,0.0,2694.11,219.32
No Revenue Center,6.0,18.9,0.0,0.0,18.9,1.57
Total,2017.0,7691.71,202.91,0.0,7894.62,634.60
