Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,625.0,3005.13,32.49,0.0,3037.62,247.79
NA Beverage,166.0,535.26,0.0,0.0,535.26,44.2
Liquor,2.0,13.98,0.0,0.0,13.98,1.15
Draft Beer,6.0,26.14,0.0,0.0,26.14,2.16
Total,799.0,3580.51,32.49,0.0,3613.00,295.30
