Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,163,5826.25,57.81,5884.06,480.06
Drive Thru,212,3506.35,12.9,3519.25,288.9
Take Out,33,594.74,0.0,594.74,49.06
Total,408,9927.34,70.71,9998.05,818.02
