Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,4142.28,249,16.64,249,18.01,249,16.64,19.39
Table Service,5785.06,419,13.81,194,32.28,159,36.38,42.03
Total,9927.34,668,14.86,443,24.26,408,24.33,28.22
