Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,2048.0,8123.87,70.34,0.0,8194.21,669.78
NA Beverage,691.0,1518.42,0.37,0.0,1518.79,124.68
Liquor,43.0,243.12,0.0,0.0,243.12,20.09
Bottled Beer,5.0,19.95,0.0,0.0,19.95,1.65
Draft Beer,2.0,21.98,0.0,0.0,21.98,1.82
Total,2789.0,9927.34,70.71,0.0,9998.05,818.02
