Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,72,1754.7,82.88,1837.58,144.77
Drive Thru,108,1519.35,25.01,1544.36,125.34
Take Out,13,165.91,0.0,165.91,13.69
Total,193,3439.96,107.89,3547.85,283.80
