Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1709.06,128,13.35,127,14.57,128,13.35,11.97
Table Service,1730.9,143,12.10,68,27.55,65,26.63,42.15
Total,3439.96,271,12.69,195,19.10,193,17.82,22.14
