Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,104,2530.97,47.97,2578.94,208.44
Drive Thru,180,2096.04,3.9,2099.94,172.74
Take Out,31,390.1,14.33,404.43,32.16
Total,315,5017.11,66.20,5083.31,413.34
