Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,630.0,2160.91,14.46,0,2175.37,178.14
Drive Thru,365.0,1100.27,2.57,0,1102.84,90.6
Total,995.0,3261.18,17.03,0,3278.21,268.74
