Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2168.41,212,10.23,211,11.12,211,10.28,5.74
Table Service,1092.77,88,12.42,57,20.75,53,20.62,35.82
Total,3261.18,300,10.87,268,13.17,264,12.35,11.78
