Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1096.0,3920.47,19.9,0.0,3940.37,323.28
NA Beverage,270.0,694.35,0.0,0.0,694.35,57.24
Total,1366.0,4614.82,19.9,0.0,4634.72,380.52
