Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2812.29,200,14.06,202,15.07,200,14.06,6.18
Table Service,1802.53,136,13.25,64,30.49,63,28.61,38.73
Total,4614.82,336,13.73,266,18.78,263,17.55,13.98
