Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,68,1819.63,19.9,1839.53,150.09
Drive Thru,165,2298.26,0.0,2298.26,189.44
Take Out,30,496.93,0.0,496.93,40.99
Total,263,4614.82,19.9,4634.72,380.52
