Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,856.0,3791.41,57.59,0.0,3849.0,312.83
Drive Thru,627.0,2072.0,23.72,0.0,2095.72,171.03
No Revenue Center,4.0,25.65,0.0,0.0,25.65,2.11
Total,1487.0,5889.06,81.31,0.0,5970.37,485.97
