Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,83,3300.41,14.99,3315.4,272.29
Drive Thru,126,2126.19,23.72,2149.91,175.49
Take Out,23,462.46,42.6,505.06,38.19
Total,232,5889.06,81.31,5970.37,485.97
