Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2603.62,151,17.24,152,18.54,151,17.24,11.27
Table Service,3285.44,224,14.67,95,37.44,81,40.56,43.77
Total,5889.06,375,15.70,247,25.81,232,25.38,22.61
