Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1171.0,5050.93,77.91,0.0,5128.84,416.8
NA Beverage,309.0,800.1,3.4,0.0,803.5,66.03
Liquor,4.0,23.96,0.0,0.0,23.96,1.97
Draft Beer,3.0,14.07,0.0,0.0,14.07,1.17
Total,1487.0,5889.06,81.31,0.0,5970.37,485.97
