Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,55,1166.81,3.58,1170.39,96.28
Drive Thru,204,2370.48,8.28,2378.76,195.16
Take Out,37,449.0,0.0,449.0,37.03
Total,296,3986.29,11.86,3998.15,328.47
