Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,126,1594.66,0.0,0.0,121.2,0.0,0.0,0.00,1594.66,0.0
Credit/debit,,201,3052.86,254.78,14.52,232.27,0.0,0.0,254.78,3322.16,9.5
Credit/debit,AMEX,4,107.31,14.0,0.0,8.16,0.0,0.0,14.00,121.31,14.1
Credit/debit,DISCOVER,1,4.32,0.0,0.0,0.33,0.0,0.0,0.00,4.32,0.0
Credit/debit,MASTERCARD,65,1062.8,81.0,14.52,80.85,0.0,0.0,81.00,1158.32,9.7
Credit/debit,VISA,131,1878.43,159.78,0.0,142.93,0.0,0.0,159.78,2038.21,9.2
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,327,4647.52,254.78,14.52,353.47,0.0,0.0,254.78,4916.82,6.3
