Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,57,1106.16,10.85,1117.01,91.17
Drive Thru,225,2421.61,3.6,2425.21,199.15
Take Out,41,766.28,2.03,768.31,63.15
Total,323,4294.05,16.48,4310.53,353.47
