Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3216.71,272,11.83,272,12.80,271,11.87,5.80
Table Service,1077.34,93,11.58,55,21.20,52,20.72,36.02
Total,4294.05,365,11.76,327,14.21,323,13.29,10.67
