Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,571.0,2817.33,8.51,0.0,2825.84,232.3
Drive Thru,321.0,1092.86,3.68,0.0,1096.54,90.08
No Revenue Center,13.0,15.27,32.21,0.0,47.48,1.26
Total,905.0,3925.46,44.40,0.0,3969.86,323.64
