Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,67,2582.73,39.02,2621.75,212.97
Drive Thru,97,1244.75,5.38,1250.13,102.6
Take Out,10,97.98,0.0,97.98,8.07
Total,174,3925.46,44.40,3969.86,323.64
