Tax rate,Tax amount,Taxable amount
Tax,353.87,4294.61
TX SPECIAL TAX,0.09,12.99
TX CITY TAX,0.16,12.99
TX STATE TAX,0.81,12.99
Non Taxable,0.0,0.0
