Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2673.13,190,14.07,192,15.07,190,14.07,5.54
Table Service,1634.47,126,12.97,61,29.00,59,27.70,34.44
Total,4307.60,316,13.63,253,18.43,249,17.30,12.39
