Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2741.21,200,13.71,201,14.76,200,13.71,4.25
Table Service,1614.69,133,12.14,56,30.84,49,32.95,43.60
Total,4355.90,333,13.08,257,18.26,249,17.49,11.99
