Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,149,5774.22,52.65,5826.87,475.81
Drive Thru,210,3228.0,15.87,3243.87,266.19
Take Out,39,786.16,7.9,794.06,64.86
Total,398,9788.38,76.42,9864.80,806.86
