Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,57,1817.86,2.82,1820.68,149.8
Drive Thru,137,1888.31,0.0,1888.31,155.63
Take Out,32,497.6,3.9,501.5,41.0
Total,226,4203.77,6.72,4210.49,346.43
