Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,46,982.54,7.5,990.04,80.93
Drive Thru,186,2141.06,0.0,2141.06,176.23
Take Out,47,825.16,2.39,827.55,68.01
Total,279,3948.76,9.89,3958.65,325.17
