Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,800.0,2749.11,9.89,0.0,2759.0,226.47
Drive Thru,400.0,1199.65,0.0,0.0,1199.65,98.7
Total,1200.0,3948.76,9.89,0.0,3958.65,325.17
