Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,993.0,3448.95,9.89,0.0,3458.84,284.06
NA Beverage,207.0,499.81,0.0,0.0,499.81,41.11
Total,1200.0,3948.76,9.89,0.0,3958.65,325.17
