Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,122,1457.11,0.0,0.0,110.88,0.0,0.0,0.00,1457.11,0.0
Credit/debit,,166,2816.82,209.64,0.0,214.29,0.0,0.0,209.64,3026.46,8.1
Credit/debit,AMEX,4,124.12,19.0,0.0,9.45,0.0,0.0,19.00,143.12,16.6
Credit/debit,DISCOVER,1,18.93,2.0,0.0,1.44,0.0,0.0,2.00,20.93,11.4
Credit/debit,MASTERCARD,54,918.78,47.69,0.0,69.89,0.0,0.0,47.69,966.47,5.6
Credit/debit,VISA,107,1754.99,140.95,0.0,133.51,0.0,0.0,140.95,1895.94,8.7
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,288,4273.93,209.64,0.0,325.17,0.0,0.0,209.64,4483.57,5.3
