Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2556.26,221,11.57,219,12.63,221,11.57,10.46
Table Service,2881.39,223,12.92,117,26.66,110,26.19,42.71
Total,5437.65,444,12.25,336,17.52,331,16.43,21.18
