Hour of day,Net sales,Total orders,Total guests
6,121.14,11,11
19,339.76,9,20
17,459.45,23,31
8,437.34,43,51
10,381.83,28,37
11,687.98,41,62
18,186.34,10,13
13,509.55,23,38
15,123.19,11,12
14,234.63,12,16
12,497.15,27,34
20,159.96,7,10
16,240.6,12,18
7,307.83,27,27
9,750.9,47,64
