Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,113,2900.37,81.6,2981.97,238.94
Drive Thru,191,2177.26,3.16,2180.42,179.48
Take Out,27,360.02,33.54,393.56,29.7
Total,331,5437.65,118.30,5555.95,448.12
