Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,2.0,2.78,0.0,0.0,2.78,0.23
Dining Room,822.0,3866.15,101.3,0.0,3967.45,318.77
Drive Thru,349.0,1082.71,6.14,0.0,1088.85,89.29
No Revenue Center,23.0,38.8,50.18,0.0,88.98,3.2
Total,1196.0,4990.44,157.62,0.0,5148.06,411.49
