Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,93,3234.16,96.76,3330.92,266.63
Drive Thru,117,1492.16,10.96,1503.12,123.06
Take Out,17,264.12,49.9,314.02,21.8
Total,227,4990.44,157.62,5148.06,411.49
