Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3184.03,232,13.72,240,14.36,232,13.72,12.51
Table Service,3875.86,311,12.46,153,27.42,144,26.92,36.57
Total,7059.89,543,13.00,393,19.44,376,18.78,21.73
