Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,111,1592.12,54.03,0.0,1646.15,131.23
Lunch,130,2606.8,6.46,0.0,2613.26,214.75
Dinner,86,2246.07,21.35,0.0,2267.42,185.05
No Service,49,614.9,0.0,0.0,614.9,50.73
Total,376,7059.89,81.84,0.0,7141.73,581.76
