Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1462.0,5564.93,90.13,0.0,5655.06,458.72
Total,1462.0,5564.93,90.13,0.0,5655.06,458.72
