Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1486.0,6054.41,159.28,0.0,6213.69,499.43
NA Beverage,425.0,1344.91,5.26,0.0,1350.17,110.98
Liquor,21.0,217.46,5.33,0.0,222.79,17.89
Draft Beer,1.0,3.69,0.0,0.0,3.69,0.3
Total,1933.0,7620.47,169.87,0.0,7790.34,628.60
