Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3429.61,195,17.59,187,19.85,195,17.59,17.83
Table Service,4190.86,313,13.39,125,36.29,112,37.42,41.99
Total,7620.47,508,15.00,312,26.44,307,24.82,26.64
